attribute_type,attribute_value,avg_demand_pct
cuisine,Scandinavian,18.64
cuisine,German,17.41
cuisine,British,17.04
cuisine,Italian,17.01
cuisine,Canadian,16.32
cuisine,Indian,13.76
cuisine,Mexican,12.81
cuisine,Greek,11.96
cuisine,Chinese,10.77
cuisine,Japanese,9.15
cuisine,Caribbean,8.91
cuisine,Vietnamese,7.85
cuisine,Korean,7.28
cuisine,Indonesian,7.19
cuisine,Australian,6.82
cuisine,Swedish,6.69
cuisine,Hawaiian,5.26
cuisine,Spanish,5.12
cuisine,Lebanese,3.81
cuisine,American,3.74
cuisine,Jamaican,3.35
cuisine,Peruvian,3.31
cuisine,Moroccan,3.06
cuisine,Mediterranean,2.97
cuisine,Thai,2.76
cuisine,Cajun,2.61
cuisine,Argentinian,2.58
cuisine,Cuban,2.17
cuisine,Malay,2.07
cuisine,Portuguese,1.92
cuisine,Hungarian,1.72
cuisine,Tex-Mex,1.7
cuisine,Turkish,1.21
cuisine,Polish,1.1
cuisine,Bulgarian,1.05
cuisine,French,0.93
cuisine,Fusion cuisine,0.75
cuisine,Singaporean,0.75
cuisine,Brazilian,0.67
dish_type,Pasta,20.16
dish_type,Burger,19.02
dish_type,Curry,18.89
dish_type,123,17.34
dish_type,Pizza,12.13
dish_type,Tacos,11.95
dish_type,Wrap,10.76
dish_type,Bowl,9.81
dish_type,Stew,9.49
dish_type,Stir-Fry,9.21
dish_type,Noodles,8.96
dish_type,Tortillas,8.77
dish_type,Salad,7.95
dish_type,Risotto,7.94
dish_type,One-Dish,7.77
dish_type,Casserole,6.2
dish_type,Sandwich,5.09
dish_type,Meatballs,4.71
dish_type,Soup,4.45
dish_type,Baked,3.19
dish_type,None,3.18
dish_type,Quesadilla,3.18
dish_type,One-Pot,3.1
dish_type,Enchilada,2.94
dish_type,Rice,2.82
dish_type,Hot-Pot,1.92
dish_type,Pie,1.91
dish_type,Chilli,1.68
dish_type,Roast,1.68
dish_type,Gratin,1.67
dish_type,Flatbread,1.66
dish_type,Fritters,1.19
dish_type,Platter,1
dish_type,Dumpling,0.95
dish_type,Nachos,0.75
protein,Veggie-No Protein,50.68
protein,Veggie-Beans-Black,24.83
protein,Chicken-Breast,23.89
protein,Pork-Fillet-Tenderloin,23.24
protein,Pork-Bacon,23.2
protein,Beef-Mince,22.15
protein,Chicken-Mince,19.21
protein,Fish-Salmon-Fillet-Skin-On,16
protein,Veggie-Chickpeas,15.08
protein,Veggie-Cheese-Brie,15.02
protein,Veggie-Cheese-Mozzarella,14.16
protein,Veggie-Lentils,14.06
protein,Chicken-Tenderloin,13.98
protein,Pork-Mince,13.97
protein,Pork-Chops-Boneless,13.69
protein,Beef-Steak-Sirloin,13.37
protein,Pork-Chops,9.58
protein,Veggie-Cheese-Ricotta,8.93
protein,Shellfish-Shrimp,8.66
protein,Veggie-Lentils-Red,8.19
protein,Veggie-Cheese-Bocconcini,8.17
protein,Chicken-Thigh,7.75
protein,Turkey-Breast,7.62
protein,Chicken-Breast-Diced,7.09
protein,Veggie-Mushrooms,6.96
protein,Veggie-Pasta-Ravioli-Squash,6.78
protein,Veggie-Falafel,6.48
protein,Beef and Pork-Mince,6.34
protein,Pork-Sausage-Italian,6.16
protein,Veggie-Eggs,5.9
protein,Veggie-Beans-Kidney,5.49
protein,Veggie - Mozzarella,5.38
protein,Turkey-Mince,5.25
protein,Veggie-Cheese-Paneer,4.99
protein,Veggie-Pasta-Cheese Tortellini,4.49
protein,Pork-Sausage-Chorizo,4.3
protein,Veggie-Pasta-Ravioli-Mushroom,4.26
protein,Fish-Tilapia-Fillet,3.25
protein,Fish-Basa-Fillet,3.06
protein,Veggie-Tofu,3.06
protein,Veggie-Cheese-Halloumi,2.66
protein,Beef-Steak-Shaved,2.14
protein,Shellfish-Shrimp-Jumbo,1.92
protein,Veggie-Beans-Cannellini,1.91
protein,Pork-Chops-Bonein,1.4
protein,Bison-Mince,1.31
protein,Duck-Breast,1.16
protein,Fish-Sea Bass-Fillet,1
protein,Shellfish-Scallops-Jumbo,0.92
protein,"Egg, raw",0.92
protein,Beef-Roast-Precooked,0.65
protein,Beef-Steak-Striploin,0.43
protein,Duck-Whole-Confit,0.33
protein,Plantbased-Burger-Beyond Meat,0.3
protein,Chicken - Pulled,0.24
protein,Plantbased-Mince-Ground,0.15
protein,Plantbased-Protein-Shreds,0.12
protein,Chicken-Breast-Organic,0.08
protein,Beef-Steak-Ribeye,0.07
protein,Beef-Steak-Tenderloin,0.06
protein,Beef-Roast-Striploin,0.03
protein,Beef-Burger-Prime Rib,0.02
